record_id,machine_id,machine_type,temperature_c,vibration_mms,running_hours,pressure_bar,sound_db,status
1,M001,Motor,49.03,1.209,515.6,3.899,60.35,Normal
2,M015,Fan,47.25,4.078,3820.1,3.03,63.29,Normal
3,M009,Pump,68.27,1.954,4906.8,3.2,64.22,Normal
4,M008,Pump,55.97,1.777,4113.7,3.015,60.4,Normal
5,M015,Conveyor,55.25,3.994,3467.9,2.913,64.92,Normal
6,M007,Conveyor,85.57,7.175,5278.7,4.219,77.6,Warning
7,M017,Conveyor,94.84,7.779,5412.2,7.175,96.96,Fault
8,M018,Motor,86.25,4.907,4397.3,4.715,69.42,Warning
9,M017,Fan,47.77,2.518,803.8,4.157,68.55,Normal
10,M019,Pump,50.92,2.05,348.9,3.768,67.53,Normal
11,M018,Compressor,82.13,2.227,3364.8,3.354,70.53,Normal
12,M002,Motor,43.77,1.623,3327.7,2.907,55.75,Normal
13,M014,Motor,56.32,2.279,3606.8,4.021,69.74,Normal
14,M008,Pump,59.71,3.335,2689.4,3.099,70.11,Normal
15,M013,Pump,49.72,0.552,1947.9,3.84,67.1,Normal
16,M018,Pump,65.76,0.728,2983.0,3.614,70.14,Normal
17,M004,Fan,44.41,3.218,3110.8,3.628,67.07,Normal
18,M003,Pump,60.88,3.449,5095.8,3.114,56.16,Normal
19,M010,Fan,91.2,7.239,5676.6,4.994,84.3,Warning
20,M011,Compressor,68.78,3.846,2538.3,3.209,72.86,Normal
21,M006,Conveyor,118.03,10.468,5082.2,4.99,108.32,Fault
22,M002,Motor,77.6,4.349,3541.1,5.53,86.15,Warning
23,M014,Pump,78.88,6.432,6970.0,5.03,80.21,Warning
24,M012,Motor,120.98,14.148,6137.4,6.733,86.7,Fault
25,M011,Pump,79.74,7.175,3888.3,5.31,73.32,Warning
26,M014,Pump,59.76,2.98,3468.8,4.522,66.09,Normal
27,M010,Fan,46.7,4.485,1992.8,3.013,58.04,Normal
28,M019,Fan,59.18,3.147,2187.9,3.178,65.76,Normal
29,M008,Motor,49.65,1.371,120.6,3.29,62.05,Normal
30,M001,Pump,71.95,1.012,3988.9,3.891,63.59,Normal
31,M011,Conveyor,68.61,3.252,2504.6,4.041,69.37,Normal
32,M009,Conveyor,52.1,2.218,1366.1,3.237,66.13,Normal
33,M014,Pump,53.51,1.619,4520.6,3.691,64.82,Normal
34,M018,Fan,70.34,2.809,1343.4,3.5,60.0,Normal
35,M013,Fan,59.23,1.61,3220.6,3.161,64.98,Normal
36,M003,Conveyor,46.89,2.968,4928.3,3.366,65.84,Normal
37,M005,Conveyor,69.19,3.205,1089.8,3.772,75.43,Normal
38,M013,Conveyor,70.65,1.864,2936.8,3.916,60.94,Normal
39,M018,Conveyor,65.46,1.513,3193.5,3.075,66.02,Normal
40,M020,Fan,64.31,2.906,4225.1,3.673,64.5,Normal
41,M011,Pump,60.19,1.592,2460.4,3.254,58.24,Normal
42,M008,Conveyor,67.07,2.722,3933.0,2.887,62.71,Normal
43,M011,Motor,89.27,4.989,4259.1,4.321,73.03,Warning
44,M010,Pump,73.24,1.407,1808.3,3.405,67.6,Normal
45,M004,Pump,90.16,5.016,5225.4,4.355,75.41,Warning
46,M010,Pump,77.16,0.865,3868.2,3.576,69.12,Normal
47,M020,Pump,63.61,2.64,4746.6,3.218,60.51,Normal
48,M010,Conveyor,50.11,2.027,1314.5,4.077,71.02,Normal
49,M002,Compressor,72.87,2.813,4094.3,4.251,63.42,Normal
